label,area,equivalent_diameter,eccentricity,solidity,perimeter,mean_intensity,max_intensity
54,12.0,3.9088200952233594,1.0,1.0,10.0,0.8242525458335876,0.9063360691070557
55,13.0,4.068428945128219,1.0,1.0,11.0,0.7972922921180725,0.9109274744987488
56,236.0,17.334489682638438,0.878836760619851,0.9042145593869731,64.97056274847714,0.7715054750442505,0.9816957712173462
57,620.0,28.096414677602564,0.7690542139929066,0.7858048162230672,120.39696961966999,0.6947396397590637,0.8697275519371033
58,11.0,3.742410318509555,1.0,1.0,9.0,0.7419595122337341,0.8604836463928223
59,338.0,20.7449985808745,0.8795589598789778,0.7788018433179723,89.97665940288701,0.6744948029518127,0.7808998823165894
60,128.0,12.766152972845846,0.5118568009089931,0.9411764705882353,43.10660171779821,0.7135354280471802,0.8261401653289795
61,175.0,14.927053303604616,0.6756311491890279,0.9162303664921466,55.62741699796952,0.7104939818382263,0.845607578754425
62,199.0,15.91774699517169,0.8185620079436071,0.9212962962962963,56.2842712474619,0.7206993103027344,0.8515457510948181
63,141.0,13.398760233979036,0.785198323272135,0.9337748344370861,44.97056274847714,0.7030879855155945,0.7924701571464539
64,211.0,16.39065416446578,0.7050452706852876,0.8865546218487395,58.7634559672906,0.6783367991447449,0.7731863856315613
65,58.0,8.593479713983122,0.8372698973282338,0.9354838709677419,29.071067811865476,0.7073757648468018,0.798224687576294
66,142.0,13.446189622059965,0.6103956586276215,0.9281045751633987,45.698484809834994,0.6653733849525452,0.7444138526916504
67,181.0,15.180789096653193,0.7429682896062901,0.9141414141414141,54.248737341529164,0.701546847820282,0.83673095703125
68,90.0,10.704744696916627,0.5515252547035235,0.8910891089108911,36.520815280171306,0.658542275428772,0.7018059492111206
69,84.0,10.341765891652821,0.73845095234361,0.9545454545454546,32.384776310850235,0.6264805793762207,0.6594429016113281
70,74.0,9.706684619910241,0.8078823186115937,0.9866666666666667,31.071067811865476,0.6543866395950317,0.6974594593048096
71,42.0,7.312732791431452,0.5061426789976113,0.9333333333333333,22.485281374238568,0.6274898648262024,0.6506887078285217
72,31.0,6.282549314314218,0.797267084532536,0.8857142857142857,19.485281374238568,0.6144139170646667,0.6346495151519775
73,14.0,4.222008245644752,0.8304012016194157,0.8235294117647058,12.863961030678928,0.6063798666000366,0.6156718730926514
74,1.0,1.1283791670955126,0.0,1.0,0.0,0.604346513748169,0.604346513748169
